season,week,n_contestants,entropy,normalized_entropy,vote_gap,rank_correlation,certainty
6,9,4,1.3862943607198905,0.9999999997114609,0.0,,
6,10,3,1.0968852864211232,0.9984280148103201,0.029585798816568032,1.0,0.44485029378175606
7,1,13,2.5643653232237757,0.9997723018444548,0.00669841269841269,-0.049092781735400416,0.20029737214720253
7,2,11,2.397615958705308,0.9998835169758116,0.005191553544570501,-0.2212200748958059,0.16357826024495112
7,3,9,2.186778244960033,0.9952456692484065,0.020100502512562818,1.0,0.4315770529943223
7,4,9,2.1972245764362195,0.9999999995903923,0.0,,
7,5,8,2.079340835361831,0.9999515704981428,0.004085470085470069,-0.5008703226778093,0.10596866944320042
7,6,7,1.9459101483553138,0.9999999996402714,0.0,,
7,7,6,1.791035750541126,0.9995960849101913,0.012004535147392276,-0.5852390484520126,0.10108016755762853
7,8,5,1.6094366619327984,0.9999992230198554,0.0004999999999982241,0.0,0.20075023309404072
7,9,4,1.3862943607198905,0.9999999997114609,0.0,,
7,10,3,1.097755353756745,0.9992199842290098,0.0,1.0,0.40023400473129706
8,1,13,2.5492952530358206,0.9938969148142525,0.004115226337448562,1.0,0.4080037650618971
8,2,13,2.564105973648608,0.9996711889026287,0.008047169810866006,-0.1849807479035915,0.1751732484647921
8,3,12,2.483081238919658,0.9992654006264188,0.012311023622047251,-0.11930999725437871,0.1948249157942695
8,4,11,2.397683946338974,0.9999118700212666,0.004382231404958678,-0.13545709229571926,0.17950836764191422
8,5,9,2.1963169413299948,0.9995869170518177,0.010190476190476194,-0.4971495616050098,0.11597972684916705
8,6,8,2.0794415408798357,0.9999999996152813,0.0,,
8,7,7,1.9459101483553138,0.9999999996402714,0.0,,
8,8,6,1.7913244706934006,0.9997572226952752,0.008512820512820485,-0.17149858514250882,0.1785423469321464
